RID	class_negative(b=0.0767)	class_positive(b=-0.4241)	Support	Rule
(-1, 2)	-1.3817	1.3910	0.0885	3_x & 6_x & 9_x
(-1, 0)	-0.9714	0.9159	0.1146	1_x & 2_x & 3_x
(-1, 12)	-0.7898	0.8733	0.0781	7_x & 8_x & 9_x
(-1, 17)	-0.5407	0.4731	0.7344	5_x | 7_x
(-1, 16)	0.4648	-0.3831	0.7760	3_o | 5_o | 7_o
(-1, 4)	0.4131	-0.3678	0.0417	7_o & 8_o & 9_o
(-1, 18)	-0.3261	0.4127	0.6979	1_x | 5_x
(-1, 3)	0.2997	-0.3869	0.0156	3_o & 6_o & 9_o
(-1, 1)	0.3770	-0.1967	0.0365	1_o & 2_o & 3_o
(-1, 10)	0.3688	-0.1567	0.0365	1_o & 4_o & 7_o
(-1, 15)	0.2978	-0.3314	0.7969	1_o | 5_o | 9_o
(-1, 9)	0.0642	-0.2994	0.1354	2_o & 8_o
(-1, 5)	0.0671	-0.2521	0.0625	1_x & 4_o & 7_x
(-1, 11)	0.2245	-0.1165	0.0208	1_o & 3_x & 6_o & 9_x
(-1, 14)	-0.0070	0.2130	0.7448	2_x | 7_x
(-1, 19)	-0.1452	0.1962	0.9323	1_x | 6_x | 8_x
(-1, 13)	0.1459	0.0414	0.1615	6_x & 7_x
(-1, 7)	-0.0220	0.1455	0.4167	4_x
(-1, 6)	0.0827	-0.0775	0.3854	5_o
(-1, 8)	-0.0003	-0.0636	0.4115	8_o
############################################################
